comparison,method,AUROC,AUPRC,TPR,FPR,benchmark_score
A549_vs_H1975,edgeR,0.8273175579891481,0.10510653359823413,0.3481481481481481,0.0479700152623937,0.49118106015897406
A549_vs_H1975,limma_voom,0.666168214345776,0.11967361358749706,0.3444444444444444,0.048083375544370664,0.4391251911110974
A549_vs_H1975,seurat_wilcoxon,0.6893626696456479,0.044939582019710066,0.39253989762119845,0.048912020753035,0.43062256553181144
A549_vs_H1975,MAST,0.6829922369305478,0.025222456878867535,0.35847636254140314,0.049016168952089,0.41466879844636706
A549_vs_H1975,DESeq2,0.6545909982434209,0.060871289232570035,0.2540792540792541,0.048292043398141894,0.39639844709263344
A549_vs_H1975,scanpy_ttest,0.35444726159867534,0.008121363044469468,0.0633255633255633,0.049893564572415804,0.23457477483297176
A549_vs_H1975,scanpy_wilcoxon,0.3433571450742357,0.0080092672442679,0.0633255633255633,0.049893564572415804,0.23065400051934734
A549_vs_H2228,edgeR,0.761456234099519,0.07081960143915655,0.3466666666666667,0.04674255385333225,0.4559556203865366
A549_vs_H2228,seurat_wilcoxon,0.6555867301621529,0.0402243489285102,0.3306786140033695,0.04872634929221683,0.4047969655531843
A549_vs_H2228,limma_voom,0.6496471528186669,0.04639486382343245,0.28285714285714286,0.047512118619903,0.395434922534173
A549_vs_H2228,MAST,0.6445520741775065,0.0302004708904821,0.30496060810008313,0.04884532610948306,0.39227097978286435
A549_vs_H2228,DESeq2,0.6653132274146336,0.044398170212472055,0.19306418219461696,0.0481209936277386,0.3821997262456365
A549_vs_H2228,scanpy_ttest,0.36085898765960195,0.029446414922732898,0.10501495284103977,0.04923380633104743,0.25268650083892036
A549_vs_H2228,scanpy_wilcoxon,0.3453597854246011,0.030794191060650466,0.10501495284103977,0.04923380633104743,0.24773350170494127
A549_vs_HCC827,edgeR,0.786000048893667,0.06646979971260263,0.3464646464646464,0.04908439689178614,0.462748936615945
A549_vs_HCC827,scanpy_wilcoxon,0.6227229874699484,0.03426380211184613,0.12221072003680696,0.0490086569386086,0.3494866546671285
A549_vs_HCC827,scanpy_ttest,0.6142747516557147,0.04014297045398417,0.11427421210029903,0.049121345692271,0.34698891058922726
A549_vs_HCC827,seurat_wilcoxon,0.495068391786279,0.007845238055156833,0.0799538998200861,0.0498979666994939,0.28702075373857033
A549_vs_HCC827,MAST,0.4899059494843039,0.015579268716064867,0.07497877544197663,0.04992175753050763,0.28692340570547364
A549_vs_HCC827,DESeq2,0.41154643243801603,0.0110290255706873,0.008130081300813,0.05079582539020533,0.24444784402418826
A549_vs_HCC827,limma_voom,0.13512600909845093,0.0030967138279079666,0.0,0.050697697862263365,0.14330818323799926
H1975_vs_H2228,edgeR,0.7739470816028001,0.1168283844963051,0.33809523809523806,0.0477889467910038,0.47461156607463406
H1975_vs_H2228,scanpy_wilcoxon,0.7074403806230382,0.06225268622766724,0.2665112665112665,0.04798649836150404,0.4178961768638498
H1975_vs_H2228,scanpy_ttest,0.7147950979639157,0.053659382063862233,0.2564102564102564,0.04809884528881556,0.41543123476289195
H1975_vs_H2228,MAST,0.6125153091534976,0.0195973300844466,0.5162037037037037,0.36617004886063587,0.38786315958795764
H1975_vs_H2228,seurat_wilcoxon,0.6040043313057496,0.0318362706840487,0.5030864197530863,0.36621529898398614,0.38653996474864805
H1975_vs_H2228,DESeq2,0.28830562333314813,0.0065773435597899,0.0,0.0506307071229358,0.19814596770023474
H1975_vs_H2228,limma_voom,0.15814915563043644,0.004529339926270351,0.0,0.05048313219967085,0.1518891602248803
H1975_vs_H838,edgeR,0.7293395328745689,0.0625240052814599,0.16385735580782015,0.04933272894232057,0.40499043662194206
H1975_vs_H838,seurat_wilcoxon,0.6375517635062123,0.0206250297666954,0.28814739536284245,0.049246999114618495,0.3830666568066244
H1975_vs_H838,MAST,0.6273312606728103,0.012870635522093735,0.27188723276121646,0.0492968061125017,0.37351842960920956
H1975_vs_H838,scanpy_wilcoxon,0.5903330052778216,0.0383251109959555,0.1876456876456876,0.048658956657713935,0.35269358255918815
H1975_vs_H838,scanpy_ttest,0.5808977791821368,0.021633738133918567,0.13442113442113438,0.04922042685967473,0.3328482152588788
H1975_vs_H838,DESeq2,0.42222809694729874,0.010127160686669334,0.08624708624708623,0.049884985906584835,0.2635852588306476
H1975_vs_H838,limma_voom,0.4156813724069903,0.009435441737145766,0.054580896686159834,0.05023913916187656,0.254683150371492
H1975_vs_HCC827,edgeR,0.8123361436746338,0.12590097145758486,0.4603174603174603,0.047390114298688335,0.5157074709298998
H1975_vs_HCC827,scanpy_wilcoxon,0.7856598752151638,0.08683024392324647,0.33993783993783994,0.0474254431414776,0.46861656537186386
H1975_vs_HCC827,scanpy_ttest,0.790847584984884,0.0694618163187965,0.3096348096348096,0.0475373750868548,0.45828151487456464
H1975_vs_HCC827,MAST,0.646193533558992,0.032743793428973066,1.0,1.0,0.4376280644457878
H1975_vs_HCC827,seurat_wilcoxon,0.6276229020047944,0.03990105214286353,1.0,1.0,0.4336333839516802
H1975_vs_HCC827,DESeq2,0.19207859063974467,0.0053558940997922,0.0101010101010101,0.05052895432827067,0.16606937624621287
H1975_vs_HCC827,limma_voom,0.10977331632088133,0.0039136320604251,0.0,0.050598453436863304,0.1347305865897709
H2228_vs_H838,scanpy_wilcoxon,0.7380938139506533,0.03699988431099716,0.1876006441223832,0.048220062233410466,0.40398091699271327
H2228_vs_H838,scanpy_ttest,0.7283118667299365,0.03242276362478876,0.13469059121233032,0.04878259354217853,0.388316979512402
H2228_vs_H838,edgeR,0.6906924998533122,0.0374384897423751,0.1421404682274247,0.049204385964912195,0.37835350140748425
H2228_vs_H838,MAST,0.6076566981638014,0.0120208778984643,0.22570832838460217,0.049218105016052095,0.3571070067971082
H2228_vs_H838,seurat_wilcoxon,0.6014474904840373,0.013682611612768467,0.21645969973298843,0.0492634206651811,0.3536611336139616
H2228_vs_H838,DESeq2,0.2953296256011839,0.0100222389404293,0.0227743271221532,0.0504375405713338,0.2063842639568619
H2228_vs_H838,limma_voom,0.2643935956111013,0.008969124112428499,0.0192307692307692,0.05082675438596485,0.1944404303107928
H2228_vs_HCC827,scanpy_wilcoxon,0.8122070389765748,0.04685491962623777,0.22923855532551182,0.047544233349801596,0.4417649732411066
H2228_vs_HCC827,scanpy_ttest,0.802605921938417,0.04354024489403017,0.21204278812974464,0.0477693827422404,0.4337827777430813
H2228_vs_HCC827,edgeR,0.7281405235865442,0.06150309579100085,0.28421052631578947,0.04765844855399545,0.4284515271898991
H2228_vs_HCC827,MAST,0.5838494511843259,0.011877955098830733,0.20503582881349217,0.04931441267765504,0.34458031669403777
H2228_vs_HCC827,seurat_wilcoxon,0.5736121529416146,0.012679779068121498,0.1892680716664247,0.049385807832893765,0.33811720975340315
H2228_vs_HCC827,DESeq2,0.22792804480894602,0.00898314195099985,0.0,0.05082692714159165,0.17783622265182186
H2228_vs_HCC827,limma_voom,0.14040203603300055,0.00624002075687895,0.0,0.0507443755184293,0.14625028232461484
H838_vs_HCC827,scanpy_ttest,0.5461618302730239,0.0146653530484095,0.025764895330112697,0.050360848003525166,0.2964064084281717
H838_vs_HCC827,scanpy_wilcoxon,0.5506451203515205,0.014775748741352268,0.016505636070853435,0.0504733086423016,0.29615110053244603
H838_vs_HCC827,edgeR,0.4851239039081441,0.005221112612636134,0.037037037037037035,0.05029876422057546,0.27399828676762294
H838_vs_HCC827,MAST,0.480087527316839,0.004659605428975366,0.0342650144502949,0.05011098516546464,0.27150340083454755
H838_vs_HCC827,seurat_wilcoxon,0.4745221286184769,0.0046229335884691,0.029991510176790633,0.05013250998357993,0.26868582280943126
H838_vs_HCC827,DESeq2,0.45123359240210265,0.0113100817564801,0.0,0.05088221242268517,0.2568020647132354
H838_vs_HCC827,limma_voom,0.3211016163390861,0.0034485732111498003,0.0,0.0504692672043777,0.20854563962214479
