dataset,method,AUROC,AUPRC,TPR,FPR,benchmark_score
SCMixology_5cl_CELseq2_p1,edgeR,0.7104038035244317,0.05319388819357211,0.2121173448727628,0.04871284875331802,0.4048113762005221
SCMixology_5cl_CELseq2_p1,MAST,0.5896442695935122,0.0162647238083641,0.2939221272554606,0.15503220132219278,0.3553493530095295
SCMixology_5cl_CELseq2_p1,scanpy_wilcoxon,0.6111232418355169,0.04199981860604715,0.15310293571163133,0.04882643230472914,0.3543310150664008
SCMixology_5cl_CELseq2_p1,seurat_wilcoxon,0.5799952680838536,0.020834073788349568,0.28490028490028485,0.15506804271178953,0.3517635223641491
SCMixology_5cl_CELseq2_p1,scanpy_ttest,0.6122717906974132,0.03476755308375205,0.14882943143812705,0.04886379313563402,0.35134327729746984
SCMixology_5cl_CELseq2_p1,DESeq2,0.3856444953485282,0.017070993437003322,0.06688963210702342,0.05004939311283715,0.24932340818505697
SCMixology_5cl_CELseq2_p1,limma_voom,0.32243330538933135,0.02049996255217899,0.0576068376068376,0.05006161016047709,0.2265418502848484
SCMixology_5cl_CELseq2_p2,edgeR,0.7374866054757807,0.06851031027723385,0.30331666525411755,0.04799000058484367,0.4379632535058942
SCMixology_5cl_CELseq2_p2,seurat_wilcoxon,0.5934702738696257,0.026989077282873055,0.3031716417910448,0.15497506549642906,0.3622975947119406
SCMixology_5cl_CELseq2_p2,scanpy_wilcoxon,0.6144580746411159,0.04186074773654914,0.18061568061568056,0.04846679867240718,0.36098804408807816
SCMixology_5cl_CELseq2_p2,MAST,0.5933009494068783,0.019583361092540844,0.2975400773908236,0.1549988455879372,0.3585176395941677
SCMixology_5cl_CELseq2_p2,scanpy_ttest,0.6095893433570354,0.03925493464091865,0.15319865319865317,0.04876673230492212,0.35285855470852234
SCMixology_5cl_CELseq2_p2,DESeq2,0.41948326687249615,0.01921175525318359,0.07029059468083858,0.04992777249744577,0.26260859943041104
SCMixology_5cl_CELseq2_p2,limma_voom,0.33202543517098276,0.021918046720454075,0.08080386150561589,0.049935094916873785,0.23504748147143864
SCMixology_5cl_CELseq2_p3,edgeR,0.7595621118605853,0.1147017249375949,0.33015873015873015,0.04893821702606496,0.4671302672085026
SCMixology_5cl_CELseq2_p3,seurat_wilcoxon,0.6127939781981758,0.024295797550891975,0.4219699093542659,0.26055034956678313,0.3813203684263486
SCMixology_5cl_CELseq2_p3,MAST,0.6087494612138176,0.01907604641482782,0.40570974675263993,0.26060015656466634,0.3748208613640872
SCMixology_5cl_CELseq2_p3,scanpy_wilcoxon,0.6063584009778863,0.035841385071477355,0.1722783389450056,0.04885494576562403,0.354340098329716
SCMixology_5cl_CELseq2_p3,scanpy_ttest,0.6092058932743201,0.030342194443660056,0.1498316498316498,0.049042203932451664,0.34890394027437777
SCMixology_5cl_CELseq2_p3,DESeq2,0.4205272628676708,0.02189948103085938,0.05454545454545454,0.05027798215446344,0.2607306530581301
SCMixology_5cl_CELseq2_p3,limma_voom,0.2957213601354276,0.03384170741134,0.11111111111111112,0.0498852430762066,0.23258077155597018
